barcode,item,energy,protein,total_lipid,carbohydrate,fiber,sugar,Na,saturated_fatty_acids,trans_fatty_acids,cholesterol
4.71314E+12,Wafer Rolls Salted Caramel,116.8,1,4.1,19,0,10.1,89,1.9,0,0
4.71063E+12,Agv Barley Drink,53.2,0,0,13.3,0,8.8,41,0,0,0
4.71004E+12,Oats,126.5,3.8,2.9,22.9,3.2,18.3,41,0.6,0,0
4.71054E+12,Lay's chips,152,2,9.7,14.3,0,1.2,159,4.9,0,0
8.88647E+12,Pringles chips,140,1.4,7.7,17.3,1,0,129,3.4,0,0
8.88647E+12,Pringles onion chips,138,1.5,7.5,17,0.8,0.6,244,3.3,0,0
4.71801E+12,Crispy noodle snack,121,1.9,5.6,15.8,0,0.6,260,2.8,0,0
4.90275E+12,Yogurt gummy,20,0.3,0.6,3.3,0,2.7,0.2,0.6,0,0
4.71001E+12,Peanut tangyuan,366,6.2,17.2,46.6,0,9.9,3,7.3,0,0
4.71009E+12,milktea,366,6.2,17.2,46.6,0,9.9,3,7.3,0,0
4.71009E+12,blacktea,366,6.2,17.2,46.6,0,9.9,3,7.3,0,0
4.71009E+12,greentea,366,6.2,17.2,46.6,0,9.9,3,7.3,0,0
